"","folder","pop","picname","Body_weight.g.","Total_length.mm.","Standard_length.mm.","cal"
"408","TTZ","TTZ","170806163_L",5.9,96.01,75.5,386
"409","TTZ","TTZ","170806164_L",4.4,81.64,64.34,386
"410","TTZ","TTZ","170806165_L",4.4,85.13,67.03,386
"411","TTZ","TTZ","170806166_L",4.8,82.78,66.62,386
"412","TTZ","TTZ","170806167_L",5.1,81.74,61.66,386
"413","TTZ","TTZ","170806168_L",6.8,95.8,75.57,386
"414","TTZ","TTZ","170806238_L",7.1,99.39,78.74,386
"415","TTZ","TTZ","170806239_L",5.6,87.85,70.9,386
"416","TTZ","TTZ","170807005_L",5,79.95,63.81,386
"417","TTZ","TTZ","170807006_L",6.9,91.42,74.17,386
"418","TTZ","TTZ","170807007_L",6.2,87.19,70.05,386
"419","TTZ","TTZ","170807008_L",6.6,88.96,73.27,386
"420","TTZ","TTZ","170807009_R",7.3,92.47,73.52,386
"421","TTZ","TTZ","170811101_L",6.124,98.92,77.29,386
"422","TTZ","TTZ","170811102_L",3.71,81.83,65.09,386
"423","TTZ","TTZ","170811103_L",3.904,83.97,66.68,386
"424","TTZ","TTZ","170811104_L",4.266,86.8,66.76,386
"425","TTZ","TTZ","170811105_L",4.128,84.47,66.95,386
"426","TTZ","TTZ","170811106_L",4.535,92.57,71.58,386
"427","TTZ","TTZ","170811107_L",3.131,79.04,63.23,386
"428","ZYZ","ZYZ","170811001_L",819.9,455,375,386
"429","ZYZ","ZYZ","170811002_L",173.6,308.5,259.86,386
"430","ZYZ","ZYZ","170811003_L",212.3,305.67,246.4,386
"431","ZYZ","ZYZ","170811004_L",184.9,268.01,219.95,386
"432","ZYZ","ZYZ","170811005_L",92.1,216.22,178.66,386
"433","ZYZ","ZYZ","170811006_L",104.7,234.52,190.78,386
"434","ZYZ","ZYZ","170811007_L",103.9,234.12,195.42,386
"435","ZYZ","ZYZ","170811008_L",85.1,214.86,177.94,386
"436","ZYZ","ZYZ","170811009_L",69.4,201.19,165.28,386
"437","ZYZ","ZYZ","170811010_L",82.1,213.81,174.97,386
"438","ZYZ","ZYZ","170811011_L",74,204.08,168.49,386
"439","ZYZ","ZYZ","170811012_L",66.9,198.39,167.05,386
"440","ZYZ","ZYZ","170811013_L",56.3,188.65,155.78,386
"441","ZYZ","ZYZ","170811014_L",44,185.32,141.75,386
"442","ZYZ","ZYZ","170811015_L",54.5,183.36,146.82,386
"443","ZYZ","ZYZ","170811016_L",52.1,183.36,146.82,386
"444","ZYZ","ZYZ","170811017_L",47.4,175.18,142.31,386
"445","ZYZ","ZYZ","170811018_L",43.3,168.07,143.16,386
"446","ZYZ","ZYZ","170811019_L",35,156.9,129.49,386
"447","ZYZ","ZYZ","170811020_L",46,177.5,146.73,386
"448","ZYZ","ZYZ","170811021_L",67.3,193.87,164.16,386
"449","ZYZ","ZYZ","170811022_L",50,183.87,144.02,386
"450","ZYZ","ZYZ","170811023_L",34,162.34,129.48,386
"451","ZYZ","ZYZ","170811024_L",33.7,166.79,133.14,386
"452","ZYZ","ZYZ","170811025_L",35.3,164.9,130.68,386
"453","ZYZ","ZYZ","170811026_L",39.4,163.65,138.87,386
"454","ZYZ","ZYZ","170811027_L",20.8,135.74,108.95,386
"455","ZYZ","ZYZ","170811028_R",24.1,141.65,118.76,386
"456","ZYZ","ZYZ","170811029_L",36.8,169.37,137.33,386
"457","ZYZ","ZYZ","170811030_L",39.4,166.22,137.15,386
"458","ZYZ","ZYZ","170811031_L",27.7,142.8,117.13,386
"459","ZYZ","ZYZ","170811032_L",24.3,141.85,115.65,386
"460","ZYZ","ZYZ","170811033_L",32.6,151.85,120.09,386
"461","ZYZ","ZYZ","170811034_L",29.5,148.59,122.02,386
"462","ZYZ","ZYZ","170811036_L",30.8,152.48,116.98,386
"463","ZYZ","ZYZ","170811037_L",28.9,154.71,123.15,386
"464","ZYZ","ZYZ","170811038_L",32.2,160.56,127.4,386
"465","ZYZ","ZYZ","170811039_L",28.5,153.52,118.55,386
"466","ZYZ","ZYZ","170811040_R",24.7,140.33,111.5,386
"467","ZYZ","ZYZ","170811041_L",30.3,158.43,128.12,386
"468","ZYZ","ZYZ","170811042_L",19.5,133.14,102.49,386
"469","ZYZ","ZYZ","170811043_L",25.9,136.79,112.57,386
"470","ZYZ","ZYZ","170811044_L",19.3,133.36,105.12,386
"471","ZYZ","ZYZ","170811045_R",19.9,130.32,106.08,386
"472","ZYZ","ZYZ","170811046_L",15.4,119.66,94.31,386
"473","ZYZ","ZYZ","170811047_L",18.7,132.95,106.26,386
"474","ZYZ","ZYZ","170811048_L",20.1,131.29,106.31,386
"475","ZYZ","ZYZ","170811049_L",20.7,140.8,109.67,386
"476","ZYZ","ZYZ","170811050_L",19,126.62,105.12,386
"477","ZYZ","ZYZ","170811051_L",21.5,132.27,105.14,386
"478","ZYZ","ZYZ","170811052_L",13.9,113.62,94.52,386
"479","ZYZ","ZYZ","170811053_L",17.5,118.9,99.28,386
"480","ZYZ","ZYZ","170811054_L",16.6,122.5,100.78,386
"481","ZYZ","ZYZ","170811055_L",13.6,109.21,90.89,386
"482","ZYZ","ZYZ","170811056_L",18.2,125.16,103.54,386
"483","ZYZ","ZYZ","170811057_L",18.3,129.87,104.16,386
"484","ZYZ","ZYZ","170811058_L",13.4,107.77,96.01,386
"485","ZYZ","ZYZ","170811059_L",12.4,113.21,92.77,386
"486","ZYZ","ZYZ","170811060_L",16.4,126.51,103.8,386
"487","ZYZ","ZYZ","170811061_L",13.6,114.47,94.47,386
"488","ZYZ","ZYZ","170811062_L",13.4,111.13,90.9,386
"489","ZYZ","ZYZ","170811063_L",13.4,118.51,96.79,386
"490","ZYZ","ZYZ","170811064_L",15.5,118.44,100.61,386
"491","ZYZ","ZYZ","170811065_L",16.9,114.08,94.04,386
"492","ZYZ","ZYZ","170811066_L",12.4,116.29,92.78,386
"493","ZYZ","ZYZ","170811067_L",15.7,129.34,102.71,386
